,Title,Author,Duration,Thumbnail
https://www.youtube.com/watch?v=--SZOi73UGU,Terme mit Klammern (Plus- und Minusklammern) | Terme und Gleichungen | Lehrerschmidt,Lehrerschmidt,310,https://i.ytimg.com/vi_webp/--SZOi73UGU/maxresdefault.webp
https://www.youtube.com/watch?v=--V9j3gJF_A,Die Pomodoro Technik einfach erklärt – So arbeitest du fokussierter!,Projekte leicht gemacht,473,https://i.ytimg.com/vi_webp/--V9j3gJF_A/maxresdefault.webp
https://www.youtube.com/watch?v=-0ENvOK1Rfg,"Diese 15 Rätsel werden deinen Verstand austricksen, überzeuge dich selbst",SONNENSEITE,752,https://i.ytimg.com/vi_webp/-0ENvOK1Rfg/maxresdefault.webp
https://www.youtube.com/watch?v=-1ecuhQJwNU,Graph zur Ableitung und Stammfunktion | Mathe by Daniel Jung,Mathe by Daniel Jung,351,https://i.ytimg.com/vi_webp/-1ecuhQJwNU/maxresdefault.webp
https://www.youtube.com/watch?v=-2SMvcgmCqA,Das Glückshormon🍀Serotonin & Tryptophan: Was ist das & wie den Serotoninspiegel natürlich steigern?,DoktorWeigl,725,https://i.ytimg.com/vi_webp/-2SMvcgmCqA/maxresdefault.webp
https://www.youtube.com/watch?v=-3q9GJPGfK8,Der glitschige Riesensalamander |Reportage für Kinder | Anna und die wilden Tiere,Wilde Tierwelt,1320,https://i.ytimg.com/vi/-3q9GJPGfK8/maxresdefault.jpg
https://www.youtube.com/watch?v=-3_MUV1PwWQ,e - die eulersche Zahl (was ist das?),Mathe mit Rick,275,https://i.ytimg.com/vi_webp/-3_MUV1PwWQ/maxresdefault.webp?v=63660f0d
https://www.youtube.com/watch?v=-4fbBKcjHqI,20 Tipps für das Deutsch-Abitur,Rebecca Elizabeth,558,https://i.ytimg.com/vi/-4fbBKcjHqI/maxresdefault.jpg
https://www.youtube.com/watch?v=-50DD3RbdpM,Der Augen-Check | Reportage für Kinder | Checker Tobi,CHECKER WELT,1458,https://i.ytimg.com/vi_webp/-50DD3RbdpM/maxresdefault.webp
https://www.youtube.com/watch?v=-5OJNP5VLww,App in Indien entwickeln lassen,Applaunch,495,https://i.ytimg.com/vi_webp/-5OJNP5VLww/maxresdefault.webp
https://www.youtube.com/watch?v=-74a55e02nI,Tonartwechsel & Modulationen in der Musik: Die Königsdisziplin der Harmonielehre ausführlich erklärt,IchMachLala,6243,https://i.ytimg.com/vi/-74a55e02nI/maxresdefault.jpg
https://www.youtube.com/watch?v=-AioerpTj3Y,Erwachsen werden in China | Galileo | ProSieben,Galileo,859,https://i.ytimg.com/vi_webp/-AioerpTj3Y/maxresdefault.webp
https://www.youtube.com/watch?v=-bLvdX4KfR8,Wie Du SICHER 1 Million € VERDIENST mit diesen 11 Marketing Tipps,Bodo Schäfer,1084,https://i.ytimg.com/vi_webp/-bLvdX4KfR8/maxresdefault.webp?v=5e3374b7
https://www.youtube.com/watch?v=-cd5-6EF66s,🇨🇵 DIE ZAHLEN von 0 bis 20 auf Französisch,Einfach Französisch,458,https://i.ytimg.com/vi/-cd5-6EF66s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTWHtzHE0MDrnqGp6bY4ctIo353g
https://www.youtube.com/watch?v=-CLmm6WRW-4,Tony Robbins Motivation auf Deutsch| 6 Regeln für mehr Erfolg| Motivationsrede,Dominik Bärenthaler Persönlichkeitsentwicklung,582,https://i.ytimg.com/vi_webp/-CLmm6WRW-4/maxresdefault.webp
https://www.youtube.com/watch?v=-Crzz7EaU_8,Brüche addieren und subtrahieren - Grundlagen mit Beispielaufgaben,Herr Mathe,435,https://i.ytimg.com/vi_webp/-Crzz7EaU_8/maxresdefault.webp
https://www.youtube.com/watch?v=-CyO6OLe0E8,"Feuerbach: Die Sache mit Gott – Dr. phil. Mathias Jung, Live-Vortrag",GGBLahnstein,4771,https://i.ytimg.com/vi/-CyO6OLe0E8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBuj6Pb-cuzBPWmbPtxcUxDqhhAMw
https://www.youtube.com/watch?v=-dzWpS1K0ag,Einfach erklärt: Gestreckte Länge | Ausbildung leicht gemacht,Continental Career,646,https://i.ytimg.com/vi/-dzWpS1K0ag/maxresdefault.jpg
https://www.youtube.com/watch?v=-ejbEAT8R_Q,Vulkane in Deutschland | Eine CheXpedition mit Checker Julian,CHECKER WELT,880,https://i.ytimg.com/vi_webp/-ejbEAT8R_Q/maxresdefault.webp
https://www.youtube.com/watch?v=-eQk9rBbJUk,Deutsch-Abitur 2023: Mein wichtigster Tipp fürs Schreiben,Arnold Erklärt,410,https://i.ytimg.com/vi_webp/-eQk9rBbJUk/maxresdefault.webp?v=608ec2be
https://www.youtube.com/watch?v=-ewa8K5jZ_8,Integralrechnung in 15 Minuten anschaulich erklärt inkl. Beispiel | Math Intuition,Math Intuition,890,https://i.ytimg.com/vi_webp/-ewa8K5jZ_8/maxresdefault.webp
https://www.youtube.com/watch?v=-Fb1fKTfmO4,"Die schlaue Art, Immobilien zu finanzieren, und wie Du Eigenkapital aus dem Nichts zaubern kannst",Alex Düsseldorf Fischer,1092,https://i.ytimg.com/vi_webp/-Fb1fKTfmO4/maxresdefault.webp
https://www.youtube.com/watch?v=-fffxpaQdyc,Aussagenlogischer Beweis für ein rekonstruiertes Argument (Teil 2 von 3),Sven Ender,341,https://i.ytimg.com/vi_webp/-fffxpaQdyc/maxresdefault.webp
https://www.youtube.com/watch?v=-fgqcsIxCQg,105.000€ AMG Motor wegen 2 Dichtungen ausgebaut ! Motoren Zimmer,Motoren Zimmer,1518,https://i.ytimg.com/vi/-fgqcsIxCQg/maxresdefault.jpg
https://www.youtube.com/watch?v=-Fi5b-o3kkY,Die schönsten Märchen von Hans Christian Andersen für Kinder und Erwachsene (Hörbuch deutsch),Kati Winter Märchenwelt,12649,https://i.ytimg.com/vi/-Fi5b-o3kkY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBd391JiJQDFLat88AsgburOcQ6A
